,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
373,Velka Bystrice,90,CZ,1577509267,80,49.59,17.37,34.0,13.87
374,Alyangula,40,AU,1577509267,94,-13.85,136.42,78.8,3.36
375,Northam,0,AU,1577509267,28,-31.65,116.67,86.0,10.29
376,Nortelandia,92,BR,1577509268,86,-14.45,-56.8,72.84,2.71
377,Diffa,0,NE,1577509268,37,13.32,12.61,58.26,9.35
378,Kachiry,70,KZ,1577509268,86,53.07,76.1,-2.69,15.66
379,Lethem,100,GY,1577509268,71,3.38,-59.8,80.17,11.03
380,Cruz das Almas,43,BR,1577509268,97,-12.67,-39.11,68.81,1.86
381,Emba,75,CY,1577509268,81,34.81,32.42,50.0,8.05
382,Henties Bay,81,NA,1577509268,89,-22.12,14.28,60.01,1.99
383,Dukat,0,AL,1577509268,56,40.25,19.57,44.01,17.31
384,Arica,49,CL,1577509269,64,-18.48,-70.32,69.8,3.96
385,Hualmay,34,PE,1577509269,94,-11.1,-77.61,64.17,2.66
386,Houma,0,CN,1577509269,18,35.63,111.36,50.58,2.51
387,Tara,20,JP,1577509269,70,33.0,130.15,53.01,3.36
388,Vardo,1,US,1577509269,93,39.62,-77.74,48.99,2.84
389,Aracati,45,BR,1577509194,82,-4.56,-37.77,77.2,5.1
390,Adrar,100,DZ,1577509269,45,27.87,-0.29,48.2,9.17
391,High Level,40,CA,1577509270,91,58.52,-117.13,1.4,6.93
392,Itarema,27,BR,1577509270,81,-2.92,-39.92,79.36,6.67
393,Maamba,100,ZM,1577509270,75,-17.36,27.22,76.55,5.64
394,Makakilo City,40,US,1577509270,88,21.35,-158.09,78.8,13.87
395,Itaguai,18,BR,1577509270,83,-22.85,-43.78,77.0,3.36
396,Harlingen,90,NL,1577509270,93,53.18,5.41,35.6,6.93
397,Gaya,90,IN,1577509270,100,24.8,85.01,44.6,3.36
398,Naze,99,NG,1577509270,97,5.43,7.07,71.65,3.65
399,Huarmey,40,PE,1577509271,88,-10.07,-78.15,65.64,2.75
400,Yar-Sale,82,RU,1577509271,96,66.83,70.83,-8.43,9.42
401,Dakar,0,SN,1577509271,93,14.69,-17.45,66.2,12.75
402,Hohhot,62,CN,1577509271,57,40.81,111.65,23.0,2.24
403,Westport,1,US,1577509202,87,41.14,-73.36,48.2,4.7
404,San Policarpo,0,PH,1577509271,69,12.18,125.51,82.71,11.86
405,Xining,0,CN,1577509271,9,36.62,101.77,31.87,5.28
406,Talnakh,40,RU,1577509271,83,69.49,88.39,-9.4,20.13
407,Muyezerskiy,76,RU,1577509272,97,63.93,31.65,7.79,1.39
408,Nanortalik,100,GL,1577509272,77,60.14,-45.24,32.68,5.46
409,Shimoda,40,JP,1577509272,40,34.7,138.93,53.6,11.41
410,Narsaq,100,GL,1577509272,53,60.91,-46.05,26.6,1.12
411,Khandbari,0,NP,1577509272,30,27.38,87.21,48.47,5.53
412,Eirunepe,100,BR,1577509272,87,-6.66,-69.87,73.0,0.78
413,Hagere Hiywet,70,ET,1577509272,73,8.98,37.85,57.38,6.85
414,Oktyabrskoye,0,RU,1577509272,66,56.73,85.44,-20.99,5.19
415,Caruray,20,PH,1577509273,66,10.31,119.01,87.8,11.41
416,Tarko-Sale,100,RU,1577509273,86,64.92,77.78,1.99,16.4
417,Yarmouth,90,CA,1577509205,93,43.84,-66.12,45.0,13.87
418,Jizan,20,SA,1577509273,78,16.89,42.56,75.2,3.36
419,Manacor,20,ES,1577509273,100,39.57,3.21,55.0,1.12
420,Balabac,76,PH,1577509273,72,7.99,117.06,84.27,9.26
421,Namatanai,85,PG,1577509273,80,-3.66,152.44,81.32,19.55
422,Tual,63,ID,1577509273,77,-5.67,132.75,84.79,18.7
423,Varzob,0,TJ,1577509273,31,38.78,68.82,50.0,4.47
424,Harsud,6,IN,1577509274,21,21.96,76.7,65.86,6.93
425,Isangel,75,VU,1577509274,79,-19.55,169.27,84.2,14.99
426,Covington,90,US,1577509034,93,35.56,-89.65,60.01,8.05
427,Kruishoutem,75,BE,1577509274,86,50.9,3.53,44.01,5.82
428,Boca do Acre,100,BR,1577509274,91,-8.76,-67.39,74.34,1.52
429,Kommunisticheskiy,100,RU,1577509274,96,61.68,64.48,7.72,2.57
430,Vestmannaeyjar,91,IS,1577509274,91,63.44,-20.27,44.1,20.13
431,Craigieburn,100,AU,1577509275,27,-37.6,144.94,95.0,14.99
432,Serpneve,100,UA,1577509275,92,46.3,29.02,32.29,14.63
433,Oberndorf,5,DE,1577509275,89,48.83,8.28,37.4,9.17
434,Nome,90,US,1577509275,94,30.04,-94.42,68.0,3.36
435,Povenets,3,RU,1577509275,90,62.85,34.83,14.76,6.13
436,Varna,57,BG,1577509275,80,43.22,27.9,33.8,4.7
437,Narasannapeta,98,IN,1577509275,58,18.42,84.04,73.6,7.4
438,San Juan,92,AR,1577509275,35,-31.54,-68.53,87.39,7.87
439,Doha,0,QA,1577509159,82,25.29,51.53,64.4,8.05
440,Estelle,32,FR,1577509276,75,43.97,3.47,48.0,5.82
441,Siocon,14,PH,1577509276,66,11.03,124.04,84.0,13.76
442,Ust-Nera,100,RU,1577509276,91,64.57,143.24,-32.96,1.9
443,Red Bluff,1,US,1577509276,54,40.18,-122.24,46.4,4.21
444,Dwarka,90,IN,1577509276,100,28.58,77.04,55.0,4.7
445,Borogontsy,91,RU,1577509276,98,62.67,131.17,-32.22,3.83
446,Ukiah,1,US,1577509276,86,39.15,-123.21,46.0,2.33
447,Tautira,75,PF,1577509277,69,-17.73,-149.15,80.6,5.82
448,Gamba,0,CN,1577509277,13,28.28,88.52,12.76,4.88
449,Mitsamiouli,40,KM,1577509277,88,-11.38,43.28,78.8,2.24
450,Libohove,0,AL,1577509277,80,40.03,20.26,44.01,2.24
451,Gazimurskiy Zavod,97,RU,1577509277,89,51.55,118.33,-5.78,1.97
452,Lubango,100,AO,1577509277,92,-14.92,13.49,60.01,6.08
453,Esmeraldas,0,BR,1577509139,68,-19.76,-44.31,71.6,5.82
454,Ambon,90,FR,1577509277,93,47.55,-2.56,54.0,4.7
455,Flin Flon,26,CA,1577509278,90,54.77,-101.88,4.01,0.31
456,Xaxim,100,BR,1577509278,86,-26.96,-52.53,67.03,3.04
457,Saryg-Sep,94,RU,1577509278,93,51.49,95.55,-9.54,1.12
458,Khandyga,7,RU,1577509278,99,62.65,135.58,-29.87,2.28
459,Siguiri,0,GN,1577509278,18,11.42,-9.17,63.72,4.07
460,Palembang,77,ID,1577509278,58,-2.99,104.76,89.01,4.21
461,Craig,90,US,1577509278,85,40.52,-107.55,12.99,3.36
462,Alofi,75,NU,1577509278,61,-19.06,-169.92,82.4,9.17
463,Pierre,90,US,1577509278,86,44.37,-100.35,32.0,4.7
464,Wilkie,1,CA,1577509279,84,52.41,-108.71,15.01,2.24
465,Concordia,0,AR,1577509279,81,-31.4,-58.02,82.0,3.69
466,Ca Mau,23,VN,1577509279,51,9.18,105.15,86.22,12.15
467,Moen,75,BE,1577509279,86,50.77,3.4,44.01,5.82
468,Karauli,0,IN,1577509279,23,26.5,77.03,60.26,1.39
469,Dubovka,75,RU,1577509279,79,49.06,44.83,26.6,4.47
470,Luoyang,74,CN,1577509279,16,34.66,112.42,54.86,3.91
471,Padang,85,ID,1577509279,75,-0.92,100.36,80.69,2.75
472,Saint-Jean-de-la-Ruelle,90,FR,1577509279,87,47.91,1.87,46.4,3.36
473,Nkan,99,CM,1577509280,91,2.95,11.22,70.54,1.61
474,Barcelona,20,ES,1577509199,81,41.38,2.18,50.0,11.41
475,Amga,98,RU,1577509280,98,60.89,131.98,-29.16,2.53
476,Antofagasta,75,CL,1577509280,82,-23.65,-70.4,66.2,9.17
477,Ust-Maya,11,RU,1577509280,98,60.42,134.54,-31.27,1.77
478,Wladyslawowo,75,PL,1577509280,86,54.79,18.4,36.0,9.17
479,Omsukchan,56,RU,1577509280,67,62.53,155.8,-11.07,4.34
480,Luau,96,CD,1577509281,95,-10.7,22.23,69.12,5.19
481,Mazagao,75,BR,1577509281,100,-0.12,-51.29,80.6,9.17
482,Tiarei,75,PF,1577509281,69,-17.53,-149.33,80.6,5.82
483,Mangai,98,CD,1577509281,87,-4.07,19.59,74.84,1.52
484,Kortkeros,96,RU,1577509281,92,61.81,51.56,12.2,11.18
485,Atar,0,MR,1577509281,16,20.52,-13.05,64.08,11.52
486,Bermejo,100,AR,1577509281,96,-22.73,-64.34,66.43,2.48
487,Weinan,75,CN,1577509281,41,34.5,109.46,45.0,4.47
488,Eatonton,1,US,1577509281,100,33.33,-83.39,61.0,4.63
489,Rondonopolis,6,BR,1577509194,86,-16.46,-54.64,73.24,2.01
490,Xam Nua,60,LA,1577509282,59,20.42,104.04,68.63,4.05
491,Saint-Francois,90,FR,1577509282,93,46.42,3.91,45.0,4.7
492,Latung,92,ID,1577509282,67,-8.45,120.42,83.55,4.65
493,Srednekolymsk,49,RU,1577509282,93,67.46,153.71,-29.92,2.01
494,Moron,3,HT,1577509282,76,18.56,-74.26,77.0,5.93
495,Qandala,85,SO,1577509282,64,11.47,49.87,75.61,3.89
496,Atambua,65,ID,1577509282,67,-9.11,124.89,86.02,7.49
497,Zonguldak,98,TR,1577509114,82,41.25,31.83,30.49,2.08
498,Mandalgovi,100,MN,1577509283,80,45.76,106.27,7.05,18.99
499,Pamyat Parizhskoy Kommuny,40,RU,1577509283,85,56.1,44.5,19.99,4.47
500,Soyo,100,AO,1577509283,87,-6.13,12.37,78.49,2.95
501,Kutoarjo,32,ID,1577509283,73,-7.72,109.9,82.09,2.62
502,Bayonet Point,90,US,1577509283,88,28.33,-82.68,72.0,6.93
503,Soro,92,VE,1577509283,85,10.54,-62.45,78.91,12.5
504,Uyuni,100,BO,1577509283,64,-20.46,-66.82,51.21,12.41
505,Haapiti,75,PF,1577509284,69,-17.57,-149.87,80.6,5.82
506,Semey,75,KZ,1577509284,84,50.41,80.25,-2.2,4.47
507,Kolondieba,0,ML,1577509284,20,11.09,-6.89,62.87,2.59
508,Pochutla,20,MX,1577509284,74,15.74,-96.47,78.8,8.55
509,Vanavara,46,RU,1577509284,96,60.35,102.28,-27.09,4.72
510,Jinchang,36,CN,1577509284,16,38.52,102.19,28.31,3.49
511,Ulaangom,32,MN,1577509264,86,49.98,92.07,-0.38,0.78
512,Pangnirtung,0,CA,1577509284,81,66.15,-65.72,-4.86,3.22
513,Chumikan,40,RU,1577509285,80,54.72,135.31,-8.28,6.42
514,Merauke,26,ID,1577509285,54,-8.49,140.4,89.91,7.83
515,Brae,100,GB,1577509285,93,60.4,-1.35,48.2,18.34
516,Olinda,100,AU,1577509285,27,-37.84,145.39,96.01,14.99
517,Vila do Maio,3,CV,1577509285,26,15.13,-23.22,71.6,6.93
518,Heihe,91,RU,1577509285,68,50.24,127.51,-16.6,6.71
519,Sao Filipe,0,CV,1577509285,67,14.9,-24.5,71.01,8.23
520,Ahipara,4,NZ,1577509285,67,-35.17,173.16,70.0,1.99
521,Bannu,0,PK,1577509178,19,32.99,70.6,58.96,0.98
522,Garowe,21,SO,1577509231,37,8.41,48.48,78.24,8.52
523,Vangaindrano,21,MG,1577509286,73,-23.35,47.6,83.88,5.97
524,Elektrenai,90,LT,1577509144,75,54.77,24.63,32.0,6.93
525,Catuday,3,PH,1577509286,72,16.29,119.81,81.97,2.46
526,Fort Abbas,0,PK,1577509286,18,29.19,72.85,62.51,5.39
527,Bull Savanna,35,JM,1577509286,93,17.89,-77.59,68.94,3.42
528,Ugoofaaru,11,MV,1577509279,80,5.67,73.0,81.91,12.46
529,Viseu,0,PT,1577509286,93,40.66,-7.91,46.0,4.0
530,Oksbol,80,DK,1577509287,92,55.63,8.29,30.0,3.36
531,Astoria,90,US,1577509287,93,46.19,-123.83,45.0,4.7
532,Kungurtug,100,RU,1577509287,89,50.6,97.53,-11.42,2.77
533,Kolosovka,89,RU,1577509287,86,56.47,73.61,-6.61,13.02
534,Artigas,3,BR,1577509287,62,-30.4,-56.46,78.49,6.55
535,Strezhevoy,100,RU,1577509287,76,60.73,77.6,-5.8,6.71
536,Pangody,99,RU,1577509287,99,65.85,74.49,-7.1,8.97
537,Kirakira,63,SB,1577509287,72,-10.46,161.92,81.95,4.74
